toi,tid,tfopwg_disp,ra,dec,pl_rade,pl_orbper,pl_trandurh,pl_trandep,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,in_habitable_zone,is_planet,planet_size_category_Earth-sized,planet_size_category_Jupiter-sized,planet_size_category_Neptune-sized,planet_size_category_Super-Earth,star_temp_category_G-dwarf,star_temp_category_Hot-star,star_temp_category_K-dwarf,star_temp_category_M-dwarf
2479.01,167661160,PC,79.709348,-36.037694,3.7858994,36.8382429,4.9462843,965.1649482,24.2324067,565.8728882,9.354,104.896,5363.1,4.08,1.2099299,2021-02-03 23:44:48,2022-10-19 12:02:26,0,1,False,False,False,True,False,False,True,False
248.01,201793781,PC,34.684283,-54.859725,2.3197704,5.9910569,3.4644509,411.3820085,283.6891271,1046.7197587,8.4642,75.9529,5711.7,3.84,1.12148,2018-12-20 17:24:11,2024-04-25 10:08:01,0,1,False,False,False,True,True,False,False,False
2480.01,1449756,FP,75.174905,-34.815988,9.40688,11.3543085,3.414,2190.0,115.756,913.0,10.8256,470.356,6421.0,3.98,1.92,2021-02-03 23:44:48,2022-02-08 12:02:04,0,0,False,True,False,False,True,False,False,False
2481.01,262258341,PC,77.804406,2.427361,3.11124,11.994832,3.374,1260.0,57.2917,766.0,10.6675,151.756,5567.0,4.56,0.86,2021-02-03 23:44:48,2021-10-29 12:59:15,0,1,False,False,False,True,True,False,False,False
2482.01,117938087,PC,71.518246,-15.343431,1.58293,14.9315582,4.729,590.0,41.9664,709.0,9.6254,365.00800000000004,4779.1,4.33,0.61,2021-02-03 23:44:48,2021-10-29 12:59:15,0,1,False,False,False,True,False,False,True,False
2483.01,219151731,FP,89.835166,-49.469569,4.86539,1.4853364,1.302,650.0,1309.65,1675.0,10.1217,259.299,6137.7,4.19,1.51,2021-02-03 23:44:48,2022-07-06 16:02:02,0,0,False,False,True,False,True,False,False,False
2484.01,68035559,PC,219.734215,37.02674,5.183,8.3272872,2.517,2970.0,63.8466,787.0,10.8945,179.127,5632.0,4.54,0.89,2021-02-11 21:44:26,2024-04-20 12:02:49,0,1,False,False,True,False,True,False,False,False
2485.01,328934463,CP,205.204322,22.983969,12.196,11.2347982,6.217,4780.0,262.58,1121.0,10.9687,397.953,6016.4,4.01,1.72,2021-02-11 21:44:26,2025-04-20 12:03:53,0,1,False,True,False,False,True,False,False,False
2486.01,369376388,PC,59.85217,-36.476026,3.17311,1.5411764,1.535,1510.0,233.78,1089.0,11.1869,96.5003,4307.3,4.33,0.77,2021-02-11 21:51:42,2024-09-10 10:08:02,0,1,False,False,False,True,False,False,True,False
2487.01,394346745,PC,42.888322,-81.006992,15.364,3.4024655,3.141,14990.0,695.002,1430.0,12.8466,646.188,5822.0,4.3,1.21,2021-02-19 00:11:33,2025-07-22 12:04:25,0,1,False,True,False,False,True,False,False,False
2488.01,139251123,PC,347.136174,-45.026493,10.5027085,10.7668398,4.2439843,1933.6811005,469.63841,1187.3005031,10.6292,385.238,5394.0,4.4,2.3196101,2021-02-19 00:11:34,2024-04-25 10:08:01,0,1,False,True,False,False,False,False,True,False
2489.01,279327604,APC,332.553092,-45.049614,8.8281188,1.426951,1.3367863,2881.7106387,1289.4656111,1528.3477807,11.2451,215.394,5421.0,4.6,1.02349,2021-02-19 00:11:34,2022-05-03 12:02:47,0,0,False,True,False,False,False,False,True,False
249.01,179985715,PC,14.080026,-38.949234,2.2695325,6.6153188,2.3345844,1341.3720224,25.0078015,570.3462995,11.2738,70.6272,4157.0,4.59257,0.603418,2018-11-29 21:52:42,2024-12-05 16:02:02,0,1,False,False,False,True,False,False,True,False
2490.01,77437543,PC,73.124509,-36.257098,7.8938765,4.09008295,7.474737,4407.5735305,83.2609761,770.4245689,11.2759,267.648,5459.0,4.27837,1.17142,2021-02-19 00:24:34,2024-03-26 12:03:01,0,1,False,False,True,False,False,False,True,False
2491.01,80567842,APC,87.283391,9.627515,20.4068988,5.92777,2.5599954,12984.5364661,1581.2651219,1608.3142967,11.0233,533.726,8343.0,4.36705,1.55754,2021-02-19 00:37:58,2021-12-09 12:01:52,0,0,False,True,False,False,False,True,False,False
2492.01,282498590,FP,90.099738,5.11447,17.4827,10.1004307,4.977,13680.0,260.172,1118.0,11.6749,421.423,6519.0,4.22,1.49,2021-02-19 00:37:58,2025-01-08 12:03:11,0,0,False,True,False,False,False,True,False,False
2493.01,123664207,PC,89.746248,-21.575094,2.6595119,4.09008295,2.0935301,1704.3313705,11.3795177,468.4364849,11.433,93.1416,4242.0,4.62878,0.652251,2021-02-19 00:37:58,2021-12-19 12:02:11,0,1,False,False,False,True,False,False,True,False
2494.01,282576340,PC,90.159529,0.131482,9.53663,8.3761316,1.976,9060.0,68.1559,800.0,10.7202,152.866,5376.0,4.49858,0.9,2021-02-19 00:37:58,2023-02-24 12:02:44,0,1,False,True,False,False,False,False,True,False
2494.02,282576340,PC,90.159529,0.131482,2.23597,2.4087648,1.881,590.0,415.189,1257.0,10.7202,152.866,5376.0,4.49858,0.9,2021-04-07 21:45:06,2023-02-24 12:02:44,0,1,False,False,False,True,False,False,True,False
